,Row_ID,Year,Era,Scenario,Region,Demographic_Group,Education_Level,Profession,AI_Tool_Category,Weekly_AI_Usage_Hours,AI_Dependency_Score,Human_Creativity_Score,Critical_Thinking_Ability,Problem_Solving_Skills,Emotional_Intelligence,Innovation_Rate,Learning_Speed,Human_Decision_Making_Involvement,Social_Interaction_Quality,Cognitive_Load_Index,Mental_Wellbeing_Score,AI_Tool_Proficiency,Adaptability_Score,Attention_Span_Minutes,Positive_Effects_of_AI,Negative_Effects_of_AI,Outcome_Label
10,11,2039,Deep AI Dependency Era,Optimistic,Middle East,Youth (18-25),Secondary,Engineering,Basic Assistants,10.6,31.38,66.23,67.86,63.15,62.49,59.88,69.73,77.02,66.49,59.1,69.11,32.62,62.45,61.45,Reduced cognitive load on repetitive tasks; Broader knowledge access; Improved accessibility for disabled individuals; Accelerated innovation cycles,Decreased self-confidence in decisions; Reduced risk-taking in innovation,Stagnant / Moderate
11,12,2042,Post-Singularity Transition,Mixed,Latin America,Elder (65+),Postgraduate,Finance,Analytical AI,18.3,28.65,77.68,51.52,32.93,56.13,48.93,58.97,74.52,58.91,51.25,47.82,36.33,64.96,54.93,Enhanced emotional regulation through AI coaching; Accelerated innovation cycles,Privacy erosion through behavioral data; Loss of deep reading habits,Stagnant / Moderate
12,13,2027,AI Mainstream Adoption,Mixed,Middle East,Youth (18-25),Undergraduate,Education,,0.0,6.43,64.33,68.72,80.6,72.09,42.39,54.09,79.61,61.62,51.18,64.49,26.53,69.55,55.34,Improved accessibility for disabled individuals; Improved creative brainstorming,Digital addiction patterns; Decreased social bonding; Over-reliance on AI outputs,Stagnant / Moderate
13,14,2067,Symbiotic Intelligence Age,Optimistic,Oceania,Young Adult (26-35),Secondary,Law,Multi-modal AI,28.8,66.51,88.63,86.32,89.55,75.47,81.2,85.05,77.18,75.91,80.78,77.19,67.52,82.53,61.48,Cross-domain creativity boosts; Better data-driven decisions; Reduced cognitive load on repetitive tasks; Augmented artistic expression,,Positive Growth
14,15,2046,Post-Singularity Transition,Optimistic,Southeast Asia,Youth (18-25),Postgraduate,Science & Research,Analytical AI,18.2,38.25,69.15,67.34,75.69,71.11,61.59,80.2,80.33,71.93,57.65,65.57,49.9,70.21,55.92,Faster skill acquisition; Reduced cognitive load on repetitive tasks; Real-time language and cultural bridging; Enhanced collaborative intelligence,Privacy erosion through behavioral data,Positive Growth
15,16,2036,Deep AI Dependency Era,Optimistic,South Asia,Senior (51-65),Postgraduate,Skilled Trades,,5.5,24.02,61.97,65.6,72.19,63.9,57.53,55.86,78.02,65.06,65.23,68.32,27.9,68.86,54.31,Real-time language and cultural bridging; Improved mental health support tools; Augmented artistic expression,Attention span deterioration; Polarization through AI echo chambers,Positive Growth
16,17,2071,Symbiotic Intelligence Age,Pessimistic,Latin America,Young Adult (26-35),Secondary,Healthcare,AGI-Adjacent Tools,41.3,93.05,33.31,32.49,46.77,42.14,34.62,58.01,29.09,35.59,71.59,42.24,90.63,49.68,32.51,,Decreased self-confidence in decisions; Privacy erosion through behavioral data; Declining handwriting and manual skills,Cognitive Decline Risk
17,18,2025,Early AI Integration,Pessimistic,Oceania,Young Adult (26-35),Postgraduate,Skilled Trades,,0.5,17.07,78.89,70.15,70.4,59.79,62.51,53.79,87.37,62.62,52.38,70.08,19.67,50.84,58.73,,Decreased self-confidence in decisions; Reduced tolerance for ambiguity; Over-reliance on AI outputs; Creativity homogenization,Cognitive Decline Risk
18,19,2057,Cognitive Co-Evolution,Pessimistic,Latin America,Adult (36-50),Undergraduate,Business,Analytical AI,44.7,75.11,33.21,36.36,61.31,43.8,40.24,45.38,59.3,41.58,80.44,40.64,69.25,49.68,30.76,Cross-domain creativity boosts; Optimized problem-solving frameworks,Declining handwriting and manual skills; Attention span deterioration,Cognitive Decline Risk
19,20,2029,AI Mainstream Adoption,Pessimistic,Southeast Asia,Elder (65+),Secondary,Law,Basic Assistants,5.3,23.94,67.83,80.5,66.86,62.8,44.67,63.82,79.91,69.27,45.77,73.4,22.36,57.11,54.47,,Attention span deterioration; Job displacement anxiety; Digital addiction patterns,Cognitive Decline Risk
20,21,2038,Deep AI Dependency Era,Neutral,South Asia,Senior (51-65),Undergraduate,Engineering,Basic Assistants,16.6,27.85,61.43,63.99,62.83,59.3,57.57,56.04,82.97,58.18,45.58,60.29,26.26,55.56,54.14,Faster skill acquisition; Cross-domain creativity boosts,Job displacement anxiety,Stagnant / Moderate
21,22,2072,Symbiotic Intelligence Age,Optimistic,Europe,Elder (65+),Secondary,Law,Full AGI Integration,40.6,79.68,80.63,95.62,78.08,85.31,77.84,92.31,77.84,85.9,74.27,82.57,79.39,85.86,67.52,Improved creative brainstorming; Greater scientific discovery rates,,Positive Growth
22,23,2068,Symbiotic Intelligence Age,Pessimistic,North America,Adult (36-50),PhD/Research,Social Sciences,Full AGI Integration,38.4,79.24,33.31,47.23,59.29,41.33,38.58,47.25,38.61,50.93,80.86,37.59,82.23,39.72,28.46,Reduced cognitive load on repetitive tasks; Democratized access to expertise,Existential anxiety from AI advancement; Memory atrophy from AI offloading,Cognitive Decline Risk
23,24,2066,Symbiotic Intelligence Age,Pessimistic,Latin America,Senior (51-65),Secondary,Entrepreneurship,Multi-modal AI,48.1,78.21,34.79,40.43,57.03,34.39,54.58,62.73,34.81,33.75,71.76,35.04,74.9,26.34,23.69,Faster medical diagnostics,Reduced risk-taking in innovation; Privacy erosion through behavioral data; Creativity homogenization,Cognitive Decline Risk
24,25,2053,Cognitive Co-Evolution,Pessimistic,Latin America,Young Adult (26-35),Postgraduate,Unemployed/Retired,Creative AI,35.1,63.35,46.98,44.08,49.58,52.3,36.16,54.83,58.39,57.47,58.83,41.58,57.05,47.89,34.82,Greater scientific discovery rates; Enhanced emotional regulation through AI coaching,Reduced tolerance for ambiguity; Reduced independent thinking,Cognitive Decline Risk
25,26,2039,Deep AI Dependency Era,Mixed,Southeast Asia,Elder (65+),Undergraduate,Technology,Creative AI,12.2,28.24,68.7,59.45,47.6,67.6,49.66,51.04,71.09,63.33,58.45,68.06,35.07,65.78,28.48,Accelerated innovation cycles,Skill atrophy in non-AI domains,Stagnant / Moderate
26,27,2036,Deep AI Dependency Era,Optimistic,Oceania,Youth (18-25),PhD/Research,Skilled Trades,Basic Assistants,17.8,24.43,58.79,69.14,64.72,64.19,61.34,64.41,77.15,80.83,50.83,58.81,31.52,65.53,48.48,Greater scientific discovery rates; Reduced cognitive load on repetitive tasks,Declining handwriting and manual skills,Stagnant / Moderate
27,28,2067,Symbiotic Intelligence Age,Pessimistic,Europe,Young Adult (26-35),Secondary,Healthcare,AGI-Adjacent Tools,25.7,74.82,45.82,48.26,41.5,65.49,48.14,59.63,32.52,35.35,73.56,52.32,67.42,46.24,38.27,Enhanced emotional regulation through AI coaching; Reduced cognitive load on repetitive tasks,Loss of deep reading habits; Existential anxiety from AI advancement,Cognitive Decline Risk
28,29,2059,Cognitive Co-Evolution,Neutral,East Asia,Youth (18-25),Primary,Healthcare,Multi-modal AI,17.9,55.49,73.9,61.64,67.04,64.53,66.2,81.51,61.56,57.36,61.43,47.23,59.15,51.11,32.66,Improved accessibility for disabled individuals; Personalized learning pathways,Decreased social bonding,Positive Growth
29,30,2074,Symbiotic Intelligence Age,Optimistic,Oceania,Adult (36-50),Secondary,Science & Research,Full AGI Integration,41.8,76.7,84.36,78.02,88.63,84.11,85.72,85.07,70.91,80.57,70.55,81.65,81.38,88.73,62.94,Faster medical diagnostics; Enhanced research capabilities; Cross-domain creativity boosts; Faster skill acquisition,Algorithmic bias reinforcement; Skill atrophy in non-AI domains,Positive Growth
30,31,2051,Cognitive Co-Evolution,Neutral,Southeast Asia,Senior (51-65),Postgraduate,Creative Arts,Multi-modal AI,25.2,47.87,65.46,62.44,66.64,69.0,58.19,61.93,63.81,67.75,60.92,82.73,53.64,52.68,36.66,Augmented artistic expression; Increased productivity for deep work,Reduced independent thinking,Positive Growth
31,32,2036,Deep AI Dependency Era,Optimistic,East Asia,Senior (51-65),Undergraduate,Business,,9.1,26.65,57.0,61.79,63.7,67.29,59.07,66.58,77.85,79.26,56.55,65.29,25.29,58.53,48.63,Personalized learning pathways; Reduced cognitive load on repetitive tasks; Optimized problem-solving frameworks,,Stagnant / Moderate
32,33,2069,Symbiotic Intelligence Age,Optimistic,Oceania,Adult (36-50),Undergraduate,Business,Full AGI Integration,32.4,69.5,90.0,69.99,86.53,85.97,75.21,96.07,57.08,80.35,74.02,76.38,70.62,79.46,68.1,Faster medical diagnostics; Enhanced emotional regulation through AI coaching; Greater scientific discovery rates; Improved creative brainstorming,Reduced tolerance for ambiguity,Positive Growth
33,34,2072,Symbiotic Intelligence Age,Mixed,Middle East,Youth (18-25),Postgraduate,Technology,Full AGI Integration,31.8,79.47,56.31,67.44,66.98,64.73,40.15,56.82,54.19,67.44,73.53,51.5,79.78,54.68,35.43,Faster skill acquisition,Decreased social bonding; Decreased self-confidence in decisions,Stagnant / Moderate
34,35,2057,Cognitive Co-Evolution,Mixed,Latin America,Young Adult (26-35),Primary,Social Sciences,AGI-Adjacent Tools,31.4,68.06,60.35,65.54,81.88,48.92,73.32,67.9,61.4,71.88,68.45,65.97,63.59,72.55,20.72,Greater scientific discovery rates; Improved accessibility for disabled individuals; Faster skill acquisition,Existential anxiety from AI advancement; Declining handwriting and manual skills; Creativity homogenization,Stagnant / Moderate
35,36,2030,AI Mainstream Adoption,Mixed,Oceania,Adult (36-50),Postgraduate,Finance,,16.4,27.24,70.95,60.59,65.08,75.84,63.06,61.6,86.43,74.11,54.1,66.53,25.43,68.35,47.64,Enhanced emotional regulation through AI coaching; Personalized learning pathways; Greater scientific discovery rates,Reduced physical-world problem solving; Decreased social bonding,Stagnant / Moderate
36,37,2066,Symbiotic Intelligence Age,Pessimistic,North America,Elder (65+),Primary,Science & Research,AGI-Adjacent Tools,40.2,72.79,46.25,24.5,47.61,41.25,31.65,54.07,34.97,38.42,67.79,46.07,74.13,40.56,19.27,Faster medical diagnostics; Democratized access to expertise,Attention span deterioration; Reduced independent thinking; Job displacement anxiety,Cognitive Decline Risk
37,38,2071,Symbiotic Intelligence Age,Optimistic,Africa,Young Adult (26-35),Secondary,Healthcare,Full AGI Integration,33.1,74.48,86.71,80.71,89.97,73.92,81.74,95.71,61.11,76.41,70.74,73.06,77.76,79.67,69.35,Enhanced collaborative intelligence; Improved creative brainstorming,Declining handwriting and manual skills; Attention span deterioration,Positive Growth
38,39,2074,Symbiotic Intelligence Age,Neutral,Southeast Asia,Youth (18-25),Postgraduate,Engineering,Full AGI Integration,49.5,78.86,75.96,59.22,80.91,63.06,69.3,88.93,48.29,60.92,73.54,56.73,88.57,75.6,61.52,Augmented artistic expression; Improved accessibility for disabled individuals; Enhanced collaborative intelligence,Declining handwriting and manual skills; Job displacement anxiety; Reduced independent thinking,Positive Growth
39,40,2067,Symbiotic Intelligence Age,Pessimistic,Oceania,Youth (18-25),Primary,Education,AGI-Adjacent Tools,44.4,85.25,39.97,47.77,44.57,39.23,34.03,44.53,29.62,31.58,71.7,52.39,77.35,35.96,14.1,,Over-reliance on AI outputs; Existential anxiety from AI advancement,Cognitive Decline Risk
40,41,2058,Cognitive Co-Evolution,Optimistic,Middle East,Youth (18-25),Postgraduate,Finance,AGI-Adjacent Tools,27.5,53.02,66.44,78.81,78.71,63.27,68.03,84.34,74.59,81.27,71.56,78.05,42.7,84.71,63.04,Reduced cognitive load on repetitive tasks; Enhanced collaborative intelligence,Polarization through AI echo chambers,Positive Growth
41,42,2036,Deep AI Dependency Era,Pessimistic,Latin America,Young Adult (26-35),Primary,Skilled Trades,Creative AI,20.8,45.99,74.15,58.36,68.17,64.04,36.67,43.33,83.9,64.44,74.32,59.95,52.23,71.77,34.17,,Reduced independent thinking; Reduced risk-taking in innovation; Decreased social bonding; Polarization through AI echo chambers,Cognitive Decline Risk
42,43,2025,Early AI Integration,Optimistic,Africa,Youth (18-25),Postgraduate,Unemployed/Retired,,4.9,7.69,48.94,67.34,57.72,61.92,50.48,58.34,82.45,66.52,58.34,62.55,11.32,63.7,42.01,Increased productivity for deep work; Democratized access to expertise; Optimized problem-solving frameworks; Enhanced research capabilities,Over-reliance on AI outputs; Skill atrophy in non-AI domains,Stagnant / Moderate
43,44,2052,Cognitive Co-Evolution,Mixed,Africa,Senior (51-65),Primary,Engineering,Analytical AI,10.8,40.27,69.15,71.66,68.82,64.7,37.32,50.64,52.29,75.11,55.6,62.32,42.07,59.75,39.16,Accelerated innovation cycles; Real-time language and cultural bridging; Optimized problem-solving frameworks,Creativity homogenization; Digital addiction patterns; Privacy erosion through behavioral data,Stagnant / Moderate
44,45,2051,Cognitive Co-Evolution,Optimistic,Southeast Asia,Young Adult (26-35),Secondary,Skilled Trades,Multi-modal AI,19.8,45.18,70.43,85.62,72.31,67.36,73.31,76.26,66.9,77.96,61.35,73.54,62.38,78.49,48.69,Faster skill acquisition; Democratized access to expertise; Faster medical diagnostics; Enhanced collaborative intelligence,Memory atrophy from AI offloading,Positive Growth
45,46,2054,Cognitive Co-Evolution,Neutral,Middle East,Youth (18-25),Secondary,Healthcare,Multi-modal AI,20.7,49.52,75.45,66.92,64.0,71.19,55.72,67.69,71.39,53.1,68.3,53.97,51.23,60.56,61.97,Better data-driven decisions; Cross-domain creativity boosts,Attention span deterioration,Positive Growth
46,47,2060,Cognitive Co-Evolution,Pessimistic,Oceania,Senior (51-65),Undergraduate,Education,AGI-Adjacent Tools,35.2,74.27,55.72,50.74,55.38,47.69,33.25,51.65,46.69,48.59,70.27,53.38,80.67,43.96,31.85,Cross-domain creativity boosts; Optimized problem-solving frameworks,Digital addiction patterns; Skill atrophy in non-AI domains,Cognitive Decline Risk
47,48,2072,Symbiotic Intelligence Age,Pessimistic,Southeast Asia,Adult (36-50),Primary,Social Sciences,Full AGI Integration,40.2,88.57,35.15,39.44,42.38,33.2,29.4,49.58,42.49,59.74,80.39,41.59,94.93,37.44,22.28,Real-time language and cultural bridging,Algorithmic bias reinforcement; Decreased social bonding; Job displacement anxiety; Creativity homogenization,Cognitive Decline Risk
48,49,2071,Symbiotic Intelligence Age,Pessimistic,Southeast Asia,Youth (18-25),Postgraduate,Finance,Full AGI Integration,30.3,80.14,53.41,39.1,52.9,35.21,25.3,45.89,35.87,42.22,79.31,41.28,80.76,32.75,30.1,,Digital addiction patterns; Reduced physical-world problem solving,Cognitive Decline Risk
49,50,2071,Symbiotic Intelligence Age,Optimistic,Middle East,Adult (36-50),Secondary,Law,Full AGI Integration,42.9,72.9,80.83,85.67,84.54,80.27,73.84,89.34,61.86,88.13,76.5,71.94,72.26,88.45,65.64,Greater scientific discovery rates; Optimized problem-solving frameworks,Reduced physical-world problem solving; Existential anxiety from AI advancement,Positive Growth
50,51,2028,AI Mainstream Adoption,Mixed,North America,Senior (51-65),Primary,Entrepreneurship,,5.9,17.21,62.47,51.89,50.62,68.72,64.91,65.0,88.04,71.74,53.17,75.2,27.21,61.51,36.82,Faster skill acquisition; Optimized problem-solving frameworks; Accelerated innovation cycles,Privacy erosion through behavioral data; Skill atrophy in non-AI domains; Decreased self-confidence in decisions,Stagnant / Moderate
51,52,2045,Post-Singularity Transition,Neutral,Africa,Adult (36-50),Undergraduate,Unemployed/Retired,Analytical AI,23.1,41.72,73.28,65.86,75.9,67.35,67.26,67.89,66.77,60.52,67.68,60.09,46.85,50.08,58.36,Improved mental health support tools; Reduced cognitive load on repetitive tasks,Polarization through AI echo chambers,Positive Growth
52,53,2066,Symbiotic Intelligence Age,Mixed,North America,Adult (36-50),Undergraduate,Healthcare,AGI-Adjacent Tools,37.4,81.76,53.31,61.57,75.44,61.54,61.2,55.69,49.91,65.62,81.03,73.1,86.11,67.19,39.46,Increased productivity for deep work,Declining handwriting and manual skills; Digital addiction patterns; Decreased self-confidence in decisions,Stagnant / Moderate
53,54,2037,Deep AI Dependency Era,Mixed,Oceania,Youth (18-25),Postgraduate,Engineering,,8.6,26.39,75.39,58.5,66.96,69.57,42.5,76.89,63.15,70.03,57.39,54.24,25.98,48.08,35.06,Better data-driven decisions,Existential anxiety from AI advancement,Stagnant / Moderate
54,55,2067,Symbiotic Intelligence Age,Neutral,North America,Senior (51-65),Undergraduate,Business,AGI-Adjacent Tools,38.3,70.34,75.96,59.74,71.88,59.69,68.02,80.54,65.77,59.28,74.35,61.02,66.39,52.64,29.05,Increased productivity for deep work; Real-time language and cultural bridging,Algorithmic bias reinforcement; Loss of deep reading habits; Decreased social bonding,Positive Growth
55,56,2030,AI Mainstream Adoption,Mixed,North America,Adult (36-50),Primary,Unemployed/Retired,,15.6,26.02,68.66,64.48,66.13,73.24,32.9,63.76,80.4,69.86,67.16,56.14,42.49,49.75,36.35,Augmented artistic expression; Broader knowledge access,Emotional detachment from AI mediation,Stagnant / Moderate
56,57,2065,Symbiotic Intelligence Age,Optimistic,Africa,Elder (65+),Postgraduate,Technology,Multi-modal AI,29.8,64.63,80.14,81.21,89.62,75.27,87.09,78.19,62.14,80.8,70.36,77.14,65.67,84.9,67.45,Democratized access to expertise; Reduced cognitive load on repetitive tasks; Faster skill acquisition,,Positive Growth
57,58,2031,AI-Augmented Society,Optimistic,North America,Adult (36-50),Primary,Engineering,,21.0,22.97,51.68,63.44,57.09,59.92,54.51,56.15,86.92,67.52,53.4,61.64,25.93,56.82,39.82,Enhanced research capabilities; Augmented artistic expression; Greater scientific discovery rates; Faster skill acquisition,Job displacement anxiety; Emotional detachment from AI mediation,Stagnant / Moderate
58,59,2039,Deep AI Dependency Era,Optimistic,Latin America,Elder (65+),Postgraduate,Business,Creative AI,14.8,32.92,56.68,61.15,66.91,63.41,69.01,67.9,80.32,67.44,61.1,60.97,35.13,60.17,51.56,Faster skill acquisition; Accelerated innovation cycles; Enhanced emotional regulation through AI coaching,,Stagnant / Moderate
59,60,2054,Cognitive Co-Evolution,Pessimistic,Latin America,Adult (36-50),Primary,Technology,AGI-Adjacent Tools,29.0,59.98,49.51,44.44,47.7,61.07,48.01,49.42,63.08,55.9,75.6,41.91,65.66,46.04,40.44,Broader knowledge access; Real-time language and cultural bridging,Declining handwriting and manual skills; Digital addiction patterns; Algorithmic bias reinforcement,Cognitive Decline Risk
60,61,2044,Post-Singularity Transition,Pessimistic,South Asia,Adult (36-50),Undergraduate,Social Sciences,Basic Assistants,29.4,52.36,52.97,67.29,50.62,61.81,45.75,57.73,73.54,52.69,70.51,56.16,68.98,53.07,47.12,Better data-driven decisions; Enhanced research capabilities,Decreased social bonding; Reduced tolerance for ambiguity; Over-reliance on AI outputs; Existential anxiety from AI advancement,Cognitive Decline Risk
61,62,2060,Cognitive Co-Evolution,Optimistic,East Asia,Youth (18-25),Postgraduate,Healthcare,Analytical AI,26.1,54.74,79.92,82.14,76.11,80.04,81.13,83.09,67.97,80.93,63.69,88.04,60.33,79.7,48.12,Optimized problem-solving frameworks; Accelerated innovation cycles; Democratized access to expertise,Skill atrophy in non-AI domains; Loss of deep reading habits,Positive Growth
62,63,2069,Symbiotic Intelligence Age,Mixed,North America,Adult (36-50),PhD/Research,Science & Research,Full AGI Integration,30.7,72.89,66.0,72.93,65.95,52.2,46.84,63.0,37.23,68.85,77.5,53.85,79.63,56.97,48.23,Improved creative brainstorming,Creativity homogenization,Stagnant / Moderate
63,64,2047,Post-Singularity Transition,Pessimistic,North America,Youth (18-25),PhD/Research,Healthcare,Multi-modal AI,29.3,53.58,57.89,54.41,60.65,53.66,35.78,62.13,57.04,56.53,59.46,60.11,59.24,58.06,43.47,,Reduced physical-world problem solving; Algorithmic bias reinforcement; Decreased social bonding; Digital addiction patterns,Cognitive Decline Risk
64,65,2043,Post-Singularity Transition,Pessimistic,North America,Elder (65+),Undergraduate,Skilled Trades,Basic Assistants,21.7,43.55,52.11,69.13,51.24,71.28,59.77,47.97,69.47,68.02,60.12,55.52,44.6,63.86,34.57,,Existential anxiety from AI advancement; Privacy erosion through behavioral data; Over-reliance on AI outputs; Reduced independent thinking,Cognitive Decline Risk
65,66,2037,Deep AI Dependency Era,Pessimistic,Middle East,Elder (65+),PhD/Research,Technology,,24.3,44.35,52.43,68.03,53.8,60.98,44.96,74.45,61.6,63.2,61.3,54.18,49.59,59.72,34.87,Improved mental health support tools; Enhanced emotional regulation through AI coaching,Emotional detachment from AI mediation; Job displacement anxiety,Cognitive Decline Risk
66,67,2044,Post-Singularity Transition,Optimistic,Oceania,Young Adult (26-35),Secondary,Science & Research,Analytical AI,20.2,34.87,71.47,73.61,71.77,71.09,76.98,66.54,65.99,78.37,69.45,63.35,48.41,66.53,53.93,Greater scientific discovery rates; Enhanced research capabilities; Broader knowledge access,Job displacement anxiety,Positive Growth
67,68,2046,Post-Singularity Transition,Mixed,Latin America,Elder (65+),PhD/Research,Technology,Multi-modal AI,17.7,31.41,67.6,78.23,69.88,58.23,49.57,61.25,72.83,60.63,58.9,71.6,35.2,63.39,57.19,Democratized access to expertise; Broader knowledge access,Job displacement anxiety; Decreased self-confidence in decisions; Reduced tolerance for ambiguity,Stagnant / Moderate
68,69,2032,AI-Augmented Society,Optimistic,Middle East,Elder (65+),PhD/Research,Business,Creative AI,14.7,25.73,51.31,69.42,55.49,75.16,56.4,57.63,75.98,67.49,60.85,64.21,28.48,67.62,41.56,Improved mental health support tools; Better data-driven decisions; Augmented artistic expression,Existential anxiety from AI advancement; Attention span deterioration,Stagnant / Moderate
69,70,2055,Cognitive Co-Evolution,Mixed,Africa,Young Adult (26-35),Secondary,Creative Arts,AGI-Adjacent Tools,21.7,60.27,55.33,82.5,47.84,67.95,69.7,58.33,67.95,51.56,67.55,62.28,45.75,65.32,48.55,Faster skill acquisition; Faster medical diagnostics; Greater scientific discovery rates,Algorithmic bias reinforcement,Stagnant / Moderate
70,71,2060,Cognitive Co-Evolution,Neutral,Middle East,Elder (65+),Undergraduate,Skilled Trades,AGI-Adjacent Tools,35.3,62.1,69.28,61.97,69.53,68.52,63.71,69.33,63.76,52.58,75.46,54.64,65.81,63.66,47.35,Increased productivity for deep work; Augmented artistic expression; Improved mental health support tools,Algorithmic bias reinforcement; Reduced tolerance for ambiguity,Positive Growth
71,72,2073,Symbiotic Intelligence Age,Optimistic,Middle East,Young Adult (26-35),Undergraduate,Creative Arts,Full AGI Integration,40.9,80.93,79.26,75.84,88.12,86.95,93.11,90.44,62.21,93.66,84.52,80.18,76.22,79.47,58.51,Reduced cognitive load on repetitive tasks; Faster medical diagnostics; Improved accessibility for disabled individuals,Job displacement anxiety,Positive Growth
72,73,2042,Post-Singularity Transition,Optimistic,Oceania,Youth (18-25),Secondary,Creative Arts,Creative AI,23.0,39.26,77.56,74.23,63.75,62.17,66.64,77.55,77.09,77.72,61.39,70.15,43.12,64.9,62.36,Reduced cognitive load on repetitive tasks; Real-time language and cultural bridging,,Positive Growth
73,74,2059,Cognitive Co-Evolution,Mixed,Africa,Senior (51-65),Secondary,Unemployed/Retired,Analytical AI,26.5,72.49,60.56,77.18,69.98,54.93,35.26,46.38,59.7,71.25,81.31,68.97,69.1,57.25,43.62,Real-time language and cultural bridging,Algorithmic bias reinforcement,Stagnant / Moderate
74,75,2042,Post-Singularity Transition,Neutral,South Asia,Young Adult (26-35),PhD/Research,Skilled Trades,Analytical AI,20.4,36.97,73.23,63.54,78.97,72.83,57.06,81.74,66.68,61.98,71.94,58.12,37.58,63.05,49.52,Cross-domain creativity boosts; Better data-driven decisions,Reduced independent thinking; Privacy erosion through behavioral data; Attention span deterioration,Positive Growth
75,76,2049,Post-Singularity Transition,Neutral,Africa,Elder (65+),Undergraduate,Unemployed/Retired,Creative AI,22.4,46.28,65.33,62.39,67.37,63.75,65.16,73.22,67.78,65.66,64.8,77.34,54.21,60.07,44.74,Personalized learning pathways; Faster skill acquisition; Reduced cognitive load on repetitive tasks,Reduced tolerance for ambiguity; Attention span deterioration,Stagnant / Moderate
